res,expres,CODE,EDID,DTD,CVT,RB,DATE,DMTID,STDID,CVTID,VIC,HVIC,AR,HTOT,HRES,HSPD,HSPW,HSPP,SCAN,VRAT,VTOT,VRES,VSPD,VSPW,VSPP,PCLK,|,780C,780C,780C,780D 780E,780D 780E,780D 780E,780C 780D 780E,HDBASETIN1,HDMIIN1,HDMIIN2,HDMIINRX,VGAIN1,HDBASETOUT1,HDMIOUT1
640x350@85_DMT,Null,DMT0685F,DMT0685F,1,0,0,03/01/96,1,Null,Null,0,Null,Null,832,640,32,64,+,prog,85.08,445,350,32,3,-,31.5,|,x,x,x,x,x,x,,,,,,,,
640x360@50_CVT,Null,*CVT0650H,CVT0650H,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,16,64,-,prog,49.3,374,360,3,5,+,14.7504,|,,,x,,,x,,,,,,,,
640x360@60_CVR,Null,*CVR0660H,CVR0660H,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,48,64,+,prog,59.33,374,360,3,5,-,17.7504,|,,,x,,,x,,,,,,,,
640x360@60_CVT,Null,*CVT0660H,CVT0660H,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,16,64,-,prog,59.84,376,360,3,5,+,18,|,,,x,,,x,,,,,,,,
640x360@75_CVT,Null,*CVT0675H,CVT0675H,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,16,64,-,prog,74.21,379,360,3,5,+,22.5,|,,,x,,,x,,,,,,,,
640x360@85_CVT,Null,*CVT0685H,CVT0685H,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,16,64,-,prog,84.48,381,360,3,5,+,25.7504,|,x,x,x,x,x,x,,,,,,,,
640x400@50_CVT,Null,*CVT0650D,CVT0650D,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,16,64,-,prog,49.7,415,400,3,6,+,16.5,|,,,x,,,x,,,,,,,,
640x400@59_SMT,Null,*SMT0660D,SMT0660D,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,16,96,-,prog,59.94,525,400,50,2,-,25.1748,|,x,x,x,x,x,x,,,,,,,,
640x400@60_CVR,Null,*CVR0660D,CVR0660D,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,48,32,+,prog,59.49,415,400,3,6,-,19.7504,|,,,x,,,x,,,,,,,,
640x400@60_CVT,Null,*CVT0660D,CVT0660D,1,0,0,Null,Null,Null,Null,0,Null,Null,800,640,16,64,-,prog,59.95,417,400,3,6,+,20,|,,,x,,,x,,,,,,,,
